City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
3,Faanui,PF,81.34,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
7,Vaini,TO,80.47,light rain,-21.2,-175.2,Keleti Beach Resort
12,Gisborne,NZ,80.22,few clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
17,Kapaa,US,76.98,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Rikitea,PF,79.11,scattered clouds,-23.1203,-134.9692,People ThankYou
23,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
25,Broken Hill,AU,85.03,clear sky,-31.95,141.4333,Royal Exchange Hotel
30,Butaritari,KI,81.72,light rain,3.0707,172.7902,Isles Sunset Lodge
44,Atuona,PF,78.78,clear sky,-9.8,-139.0333,Villa Enata
48,Kavaratti,IN,80.19,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
59,Manggar,ID,79.47,light rain,-2.8833,108.2667,Guest Hotel
62,Takoradi,GH,77.36,few clouds,4.8845,-1.7554,Raybow International Hotel
64,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
65,Alice Springs,AU,89.15,few clouds,-23.7,133.8833,Desert Palms Alice Springs
66,Chiang Khong,TH,86.63,few clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
67,Padang,ID,84.25,moderate rain,-0.9492,100.3543,Mercure Padang
69,Saint-Philippe,RE,79.11,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
74,Kahului,US,78.06,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
80,Biak,ID,80.71,light rain,-0.9131,122.8766,Penginapan Kim
82,Mahebourg,MU,82.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
85,Auki,SB,82.27,heavy intensity rain,-8.7676,160.7034,Auki Motel
86,Dakar,SN,76.08,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
88,San Pedro,PH,87.35,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
89,Hithadhoo,MV,82.0,scattered clouds,-0.6,73.0833,Scoop Guest House
92,The Valley,AI,77.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
93,La Palma,US,78.75,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
95,Manaquiri,BR,79.25,light rain,-3.3167,-60.35,Tasikmalaya
106,Itarema,BR,77.13,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
112,Bambous Virieux,MU,82.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
114,Port Augusta,AU,86.7,few clouds,-32.5,137.7667,Majestic Oasis Apartments
121,Yulara,AU,89.96,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
122,Esperance,AU,79.47,clear sky,-33.8667,121.9,Hospitality Esperance
135,Wanaka,NZ,77.56,clear sky,-44.7,169.15,Wanaka Homestead Lodge and Cottages
140,Kalianget,ID,83.53,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
151,Buala,SB,83.34,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
153,Carnarvon,AU,86.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
159,Ahipara,NZ,78.75,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
165,Akyab,MM,75.33,clear sky,20.15,92.9,Hotel Memory
168,Cockburn Town,TC,77.77,clear sky,21.4612,-71.1419,Osprey Beach Hotel
179,Sambava,MG,76.68,overcast clouds,-14.2667,50.1667,Melrose
188,Cap Malheureux,MU,82.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
190,Sao Filipe,CV,77.07,overcast clouds,14.8961,-24.4956,Hotel Xaguate
199,Kendari,ID,84.34,overcast clouds,-3.945,122.4989,Hotel Wixel
200,Souillac,MU,82.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
204,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Poutur Pousada
205,Ternate,ID,84.67,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
207,Honiara,SB,85.01,light rain,-9.4333,159.95,Heritage Park Hotel
208,Waingapu,ID,84.81,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
209,Sola,VU,81.82,overcast clouds,-13.8833,167.55,Leumerus Bungalows
213,Quatre Cocos,MU,82.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
219,Meulaboh,ID,77.4,overcast clouds,4.1363,96.1285,Kost Pria
227,Banda Aceh,ID,82.47,overcast clouds,5.5577,95.3222,Sulthan Hotel International
231,Moerai,PF,80.04,overcast clouds,-22.4333,-151.3333,Le Manotel
233,Vanimo,PG,84.24,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
234,Trat,TH,88.25,few clouds,12.5,102.5,สวนหนิง-อัศ
238,Gladstone,AU,85.93,broken clouds,-23.85,151.25,Highpoint International Hotel
244,Sao Jose Da Coroa Grande,BR,80.08,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
245,Kieta,PG,83.52,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
246,Vaitape,PF,81.3,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
248,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
267,Dingle,PH,84.47,light rain,10.9995,122.6711,SEGAYA PROPERTY
278,Acarau,BR,77.41,scattered clouds,-2.8856,-40.12,castelo pizzaria
279,Lorica,CO,77.83,overcast clouds,9.2365,-75.8135,Hostal Raíces del Sabor
284,Parakan,ID,80.44,overcast clouds,-6.4191,106.0081,Mejlis taklim Al-ikhlas
286,Saint-Pierre,RE,79.18,clear sky,-21.3393,55.4781,Lindsey Hôtel
287,Kavieng,PG,82.4,moderate rain,-2.5744,150.7967,Nusa Island Retreat
289,Minuri,PH,79.92,scattered clouds,16.535,121.8574,Tasikmalaya
291,Sungairaya,ID,78.96,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
295,Kismayo,SO,77.76,few clouds,-0.3582,42.5454,Agan-Hotel
296,Grand Gaube,MU,82.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
299,Antalaha,MG,76.78,broken clouds,-14.9003,50.2788,Hotel Vitasoa
300,Cayenne,GF,75.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
305,Weligama,LK,83.7,light rain,5.9667,80.4167,Weligama Bay Resort
308,Bubaque,GW,77.2,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
327,San-Pedro,CI,77.13,clear sky,4.7485,-6.6363,Hotel Maria
328,Lodwar,KE,80.1,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
329,Monteria,CO,76.84,overcast clouds,8.748,-75.8814,Hotel Sinu
341,Luganville,VU,84.65,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
