City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Punta Arenas,CL,-53.15,-70.9167,44.71,65,40,21.85,scattered clouds
1,Narsaq,GL,60.9167,-46.05,14.22,69,82,10.0,broken clouds
2,Cidreira,BR,-30.1811,-50.2056,72.07,72,93,13.42,overcast clouds
3,Faanui,PF,-16.4833,-151.75,81.34,76,80,14.2,light rain
4,Hilo,US,19.7297,-155.09,72.81,88,35,4.29,scattered clouds
5,Lagoa,PT,39.05,-27.9833,58.28,70,0,14.83,clear sky
6,San Cristobal,VE,7.7669,-72.225,71.78,93,97,1.36,overcast clouds
7,Vaini,TO,-21.2,-175.2,80.47,83,20,20.31,light rain
8,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.52,96,100,9.57,light rain
9,Lasa,IT,46.6166,10.7002,32.29,36,34,3.29,scattered clouds
10,Ossora,RU,59.2353,163.0719,-3.95,96,30,0.72,scattered clouds
11,Tiksi,RU,71.6872,128.8694,-12.26,92,99,14.56,overcast clouds
12,Gisborne,NZ,-38.6533,178.0042,80.22,68,20,3.44,few clouds
13,Bredasdorp,ZA,-34.5322,20.0403,62.28,81,100,5.77,overcast clouds
14,Thompson,CA,55.7435,-97.8558,-14.15,99,80,2.39,broken clouds
15,Sakmara,RU,51.9844,55.3338,8.62,92,100,13.71,light snow
16,Camabatela,AO,-8.1881,15.375,58.15,99,65,1.32,broken clouds
17,Kapaa,US,22.0752,-159.319,76.98,74,75,4.61,broken clouds
18,Hermanus,ZA,-34.4187,19.2345,64.9,85,99,4.79,overcast clouds
19,Khudumelapye,BW,-23.8833,24.75,71.17,57,55,3.29,broken clouds
20,Rikitea,PF,-23.1203,-134.9692,79.11,73,30,18.45,scattered clouds
21,Ushuaia,AR,-54.8,-68.3,47.86,46,75,18.41,broken clouds
22,Nalut,LY,30.3333,10.85,42.01,71,3,12.06,clear sky
23,Avarua,CK,-21.2078,-159.775,80.65,83,40,11.5,scattered clouds
24,Nanortalik,GL,60.1432,-45.2371,20.03,69,63,7.58,broken clouds
25,Broken Hill,AU,-31.95,141.4333,85.03,30,10,15.73,clear sky
26,Pisco,PE,-13.7,-76.2167,72.01,73,100,6.91,overcast clouds
27,Colomi,BO,-17.35,-65.8667,51.06,89,96,4.5,overcast clouds
28,Birjand,IR,32.8663,59.2211,44.89,26,0,4.65,clear sky
29,Heihe,CN,50.2441,127.4902,7.38,86,98,9.73,overcast clouds
30,Butaritari,KI,3.0707,172.7902,81.72,78,100,14.5,light rain
31,Saskylakh,RU,71.9167,114.0833,-1.44,91,100,13.69,overcast clouds
32,Breyten,ZA,-26.3018,29.987,55.15,85,7,3.22,clear sky
33,Bluff,NZ,-46.6,168.3333,73.8,83,40,12.41,scattered clouds
34,Albany,US,42.6001,-73.9662,37.81,73,98,2.53,overcast clouds
35,Puerto Ayora,EC,-0.7393,-90.3518,73.85,84,97,5.55,overcast clouds
36,Beian,NO,63.6559,9.5683,37.49,75,40,28.77,scattered clouds
37,Kaitangata,NZ,-46.2817,169.8464,68.94,91,68,5.61,broken clouds
38,Uyuni,BO,-20.4597,-66.825,52.21,39,5,9.22,clear sky
39,Ancud,CL,-41.8697,-73.8203,50.43,75,94,8.23,overcast clouds
40,Nikolskoye,RU,59.7035,30.7861,35.71,89,100,11.9,snow
41,Mataura,NZ,-46.1927,168.8643,73.47,34,12,7.11,few clouds
42,Castro,BR,-24.7911,-50.0119,58.03,99,30,5.99,scattered clouds
43,East London,ZA,-33.0153,27.9116,66.65,76,0,5.03,clear sky
44,Atuona,PF,-9.8,-139.0333,78.78,76,10,17.25,clear sky
45,Half Moon Bay,US,37.4636,-122.4286,65.3,53,0,8.05,clear sky
46,Hobart,AU,-42.8794,147.3294,74.12,38,100,13.8,overcast clouds
47,Colares,PT,38.7992,-9.4469,54.9,68,71,15.01,broken clouds
48,Kavaratti,IN,10.5669,72.642,80.19,71,100,14.67,overcast clouds
49,Ponta Do Sol,PT,32.6667,-17.1,71.01,27,100,3.06,overcast clouds
50,Cape Town,ZA,-33.9258,18.4232,66.88,89,75,5.75,light intensity drizzle
51,Polovinnoye,RU,54.7914,65.9864,-1.37,99,72,7.52,broken clouds
